Dataset,K=1,K=2,K=5,K=10,K=combined,FordA (K=5)
ACSF1,0.74,0.82,0.81,0.74,0.74,0.75
Adiac,0.739,0.726,0.716,0.721,0.76,0.762
AllGestureWiimoteX,0.679,0.65,0.657,0.677,0.67,0.666
AllGestureWiimoteY,0.681,0.676,0.686,0.69,0.716,0.706
AllGestureWiimoteZ,0.64,0.674,0.654,0.647,0.699,0.68
ArrowHead,0.777,0.777,0.834,0.771,0.76,0.76
Beef,0.733,0.367,0.667,0.7,0.7,0.733
BeetleFly,0.75,0.75,0.55,0.55,0.75,0.85
BirdChicken,0.75,0.75,0.75,0.85,0.75,0.75
BME,0.953,0.813,0.92,0.953,0.98,0.987
Car,0.75,0.817,0.8,0.783,0.8,0.8
CBF,0.99,0.986,0.94,0.94,0.989,0.98
Chinatown,0.781,0.942,0.843,0.921,0.883,0.965
ChlorineConcentration,0.649,0.606,0.64,0.594,0.7,0.629
CinCECGTorso,0.693,0.775,0.7,0.758,0.799,0.638
Coffee,1,0.929,0.964,1,1,1
Computers,0.656,0.692,0.696,0.7,0.68,0.68
CricketX,0.703,0.674,0.664,0.649,0.736,0.651
CricketY,0.597,0.603,0.597,0.582,0.656,0.6
CricketZ,0.692,0.641,0.685,0.633,0.721,0.682
Crop,0.725,0.721,0.711,0.716,0.74,0.719
DiatomSizeReduction,0.922,0.951,0.987,0.915,0.944,0.98
DistalPhalanxOutlineAgeGroup,0.748,0.748,0.734,0.741,0.748,0.719
DistalPhalanxOutlineCorrect,0.79,0.772,0.797,0.772,0.775,0.775
DistalPhalanxTW,0.691,0.633,0.683,0.676,0.662,0.655
DodgerLoopDay,0.55,0.5,0.475,0.488,0.488,0.475
DodgerLoopGame,0.891,0.804,0.797,0.855,0.862,0.848
DodgerLoopWeekend,0.884,0.957,0.848,0.754,0.884,0.957
Earthquakes,0.748,0.748,0.748,0.748,0.748,0.748
ECG200,0.9,0.85,0.83,0.86,0.91,0.89
ECG5000,0.922,0.91,0.923,0.914,0.928,0.917
ECGFiveDays,0.998,1,1,0.997,1,0.956
ElectricDevices,0.697,0.68,0.679,0.691,0.701,0.665
EOGHorizontalSignal,0.547,0.511,0.494,0.569,0.536,0.481
EOGVerticalSignal,0.401,0.409,0.42,0.403,0.434,0.425
EthanolLevel,0.374,0.4,0.388,0.426,0.412,0.476
FaceAll,0.78,0.827,0.756,0.773,0.8,0.766
FaceFour,0.477,0.682,0.545,0.773,0.75,0.727
FacesUCR,0.836,0.84,0.804,0.818,0.86,0.815
FiftyWords,0.721,0.721,0.723,0.725,0.736,0.708
Fish,0.914,0.857,0.834,0.84,0.88,0.874
