Dataset,K=1,K=2,K=5,K=10,Combined,FordA (K=5)
Adiac,0.731,0.729,0.749,0.724,0.744,0.762
ArrowHead,0.486,0.76,0.737,0.749,0.749,0.76
Beef,0.567,0.433,0.433,0.4,0.433,0.733
BeetleFly,0.9,0.65,0.8,0.85,0.85,0.85
BirdChicken,0.75,0.75,0.65,0.8,0.75,0.75
Car,0.717,0.8,0.667,0.717,0.75,0.8
CBF,0.978,0.984,0.979,0.962,0.983,0.98
ChlorineConcentration,0.609,0.608,0.568,0.625,0.656,0.629
CinCECGTorso,0.762,0.743,0.763,0.82,0.802,0.638
Coffee,0.964,1,1,0.964,1,1
Computers,0.696,0.692,0.72,0.72,0.716,0.68
CricketX,0.651,0.605,0.621,0.597,0.71,0.651
CricketY,0.633,0.536,0.585,0.574,0.644,0.6
CricketZ,0.664,0.646,0.641,0.649,0.721,0.682
DiatomSizeReduction,0.987,0.993,0.993,0.99,0.993,0.98
DistalPhalanxOutlineAgeGroup,0.763,0.755,0.741,0.741,0.748,0.719
DistalPhalanxOutlineCorrect,0.743,0.783,0.775,0.75,0.772,0.775
DistalPhalanxTW,0.683,0.633,0.676,0.647,0.669,0.655
Earthquakes,0.748,0.748,0.748,0.748,0.748,0.748
ECG200,0.81,0.86,0.84,0.84,0.86,0.89
ECG5000,0.913,0.922,0.924,0.92,0.925,0.917
ECGFiveDays,0.987,0.991,0.945,0.925,0.974,0.956
ElectricDevices,0.697,0.709,0.691,0.682,0.713,0.665
FaceAll,0.742,0.739,0.74,0.735,0.766,0.766
FaceFour,0.682,0.716,0.693,0.625,0.693,0.727
FacesUCR,0.828,0.801,0.808,0.826,0.855,0.815
FiftyWords,0.719,0.681,0.692,0.723,0.73,0.708
Fish,0.846,0.823,0.829,0.834,0.863,0.874
FordA,0.908,0.915,0.908,0.892,0.917,0.899
FordB,0.763,0.777,0.767,0.736,0.775,0.769
GunPoint,0.987,0.993,0.967,0.973,0.98,0.973
Ham,0.705,0.743,0.6,0.657,0.743,0.676
HandOutlines,0.916,0.922,0.916,0.938,0.919,0.916
Haptics,0.51,0.497,0.5,0.474,0.523,0.474
Herring,0.625,0.625,0.625,0.547,0.594,0.594
InlineSkate,0.382,0.409,0.398,0.424,0.418,0.442
InsectWingbeatSound,0.544,0.536,0.546,0.593,0.587,0.567
ItalyPowerDemand,0.9,0.913,0.894,0.888,0.905,0.913
LargeKitchenAppliances,0.76,0.795,0.816,0.797,0.808,0.765
Lightning2,0.82,0.672,0.803,0.623,0.77,0.836
Lightning7,0.726,0.767,0.644,0.726,0.767,0.644
Mallat,0.915,0.928,0.932,0.898,0.937,0.953
Meat,0.783,0.833,0.833,0.867,0.833,0.933
MedicalImages,0.679,0.704,0.741,0.724,0.749,0.724
MiddlePhalanxOutlineAgeGroup,0.63,0.623,0.636,0.643,0.636,0.63
MiddlePhalanxOutlineCorrect,0.797,0.811,0.804,0.825,0.842,0.818
MiddlePhalanxTW,0.584,0.571,0.578,0.565,0.571,0.597
MoteStrain,0.797,0.789,0.811,0.81,0.802,0.813
NonInvasiveFetalECGThorax1,0.921,0.922,0.909,0.911,0.93,0.926
NonInvasiveFetalECGThorax2,0.937,0.929,0.922,0.93,0.941,0.924
OliveOil,0.867,0.833,0.8,0.867,0.867,0.833
OSULeaf,0.715,0.669,0.636,0.669,0.74,0.653
PhalangesOutlinesCorrect,0.808,0.761,0.796,0.795,0.783,0.788
Phoneme,0.206,0.19,0.182,0.193,0.22,0.187
Plane,1,1,1,1,1,0.99
ProximalPhalanxOutlineAgeGroup,0.854,0.849,0.859,0.854,0.849,0.863
ProximalPhalanxOutlineCorrect,0.838,0.832,0.863,0.856,0.863,0.859
ProximalPhalanxTW,0.805,0.8,0.824,0.82,0.829,0.81
RefrigerationDevices,0.507,0.477,0.485,0.501,0.507,0.536
ScreenType,0.48,0.435,0.453,0.464,0.491,0.424
ShapeletSim,0.644,0.583,0.706,0.611,0.739,0.55
ShapesAll,0.837,0.825,0.817,0.84,0.833,0.838
SmallKitchenAppliances,0.701,0.688,0.709,0.685,0.704,0.707
SonyAIBORobotSurface1,0.84,0.782,0.887,0.925,0.9,0.752
SonyAIBORobotSurface2,0.858,0.878,0.863,0.85,0.878,0.811
StarLightCurves,0.961,0.964,0.969,0.968,0.97,0.968
Strawberry,0.943,0.922,0.935,0.919,0.938,0.957
SwedishLeaf,0.91,0.901,0.904,0.899,0.912,0.898
Symbols,0.941,0.908,0.942,0.927,0.952,0.941
SyntheticControl,0.997,0.997,0.987,0.993,0.997,0.99
ToeSegmentation1,0.711,0.798,0.842,0.803,0.829,0.816
ToeSegmentation2,0.738,0.777,0.892,0.746,0.792,0.808
Trace,1,1,1,1,1,1.0
TwoLeadECG,0.983,0.994,0.993,0.995,0.992,0.985
TwoPatterns,1,1,1,1,1,1.0
UWaveGestureLibraryAll,0.93,0.924,0.917,0.925,0.953,0.908
UWaveGestureLibraryX,0.8,0.787,0.799,0.783,0.813,0.775
UWaveGestureLibraryY,0.701,0.71,0.707,0.705,0.728,0.702
UWaveGestureLibraryZ,0.725,0.738,0.732,0.716,0.754,0.732
Wafer,0.996,0.992,0.994,0.992,0.997,0.995
Wine,0.5,0.5,0.5,0.5,0.5,0.5
WordSynonyms,0.621,0.627,0.602,0.613,0.635,0.599
Worms,0.545,0.532,0.597,0.558,0.558,0.597
WormsTwoClass,0.649,0.714,0.727,0.675,0.675,0.636
Yoga,0.815,0.801,0.79,0.787,0.831,0.786
ACSF1,0.7,0.75,0.76,0.77,0.76,0.75
AllGestureWiimoteX,0.65,0.659,0.68,0.647,0.69,0.666
AllGestureWiimoteY,0.701,0.69,0.683,0.704,0.739,0.706
AllGestureWiimoteZ,0.659,0.656,0.631,0.633,0.684,0.68
BME,0.993,0.993,0.98,0.98,1,0.987
Chinatown,0.965,0.956,0.974,0.977,0.962,0.965
Crop,0.735,0.73,0.724,0.726,0.75,0.719
DodgerLoopDay,0.475,0.475,0.438,0.462,0.562,0.475
DodgerLoopGame,0.761,0.739,0.739,0.732,0.739,0.848
DodgerLoopWeekend,0.964,0.964,0.957,0.957,0.964,0.957
EOGHorizontalSignal,0.539,0.497,0.525,0.489,0.544,0.481
EOGVerticalSignal,0.472,0.384,0.381,0.406,0.434,0.425
EthanolLevel,0.342,0.436,0.348,0.338,0.412,0.476
FreezerRegularTrain,0.986,0.998,0.984,0.996,0.998,0.993
FreezerSmallTrain,0.989,0.986,0.981,0.989,0.989,0.916
Fungi,0.747,0.726,0.785,0.769,0.763,0.871
GestureMidAirD1,0.508,0.554,0.569,0.546,0.6,0.615
GestureMidAirD2,0.446,0.462,0.438,0.515,0.477,0.5
GestureMidAirD3,0.246,0.238,0.262,0.292,0.285,0.323
GesturePebbleZ1,0.378,0.384,0.395,0.419,0.453,0.535
GesturePebbleZ2,0.411,0.418,0.367,0.411,0.43,0.595
GunPointAgeSpan,0.921,0.902,0.905,0.899,0.892,0.949
GunPointMaleVersusFemale,0.997,0.997,0.997,0.991,0.997,0.994
GunPointOldVersusYoung,1,1,1,1,1,1.0
HouseTwenty,0.815,0.807,0.756,0.815,0.84,0.824
InsectEPGRegularTrain,1,1,1,1,1,1.0
InsectEPGSmallTrain,1,1,1,1,1,1.0
MelbournePedestrian,0.916,0.923,0.926,0.924,0.935,0.299
MixedShapesRegularTrain,1,1,1,1,1,0.912
MixedShapesSmallTrain,0.846,0.842,0.85,0.846,0.878,0.868
PickupGestureWiimoteZ,0.64,0.68,0.58,0.68,0.68,0.62
PigAirwayPressure,0.341,0.293,0.308,0.327,0.322,0.269
PigArtPressure,0.673,0.692,0.615,0.702,0.678,0.774
PigCVP,0.481,0.543,0.495,0.486,0.524,0.577
PLAID,0.473,0.48,0.434,0.46,0.469,0.471
PowerCons,0.922,0.889,0.917,0.944,0.922,0.939
Rock,0.64,0.56,0.54,0.56,0.56,0.5
SemgHandGenderCh2,0.84,0.823,0.835,0.833,0.842,0.85
SemgHandMovementCh2,0.587,0.544,0.556,0.571,0.636,0.578
SemgHandSubjectCh2,0.707,0.756,0.633,0.689,0.747,0.702
ShakeGestureWiimoteZ,0.8,0.84,0.86,0.84,0.82,0.9
SmoothSubspace,0.947,0.96,0.913,0.907,0.933,0.947
UMD,1,0.979,0.979,1,0.993,0.972
